id;kategorie;unterkategorie;pruefungsbezug;aufgabentyp;frage;antwort;erklaerung;bilddatei;quelle;quellen_url
PRAXIS-0001;Pflichtmanöver;Rettungsmanöver unter Maschine;Amtlicher Praxisteil;Handlungsaufgabe;Führe das Manöver „Rettungsmanöver unter Maschine“ durch. Was ist das Ziel?;Eine über Bord gegangene Person sicher wieder aufnehmen.;"Sofort reagieren, Person ständig beobachten lassen, Rettungsmittel ausbringen, kontrolliert und mit sicherer Geschwindigkeit anfahren; bei der Aufnahme Propellergefahr ausschließen.";bilder/praxis-0001_pflichtmanover.png;SpFV Anlage 4, I.1;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0002;Pflichtmanöver;Anlegen unter Maschine;Amtlicher Praxisteil;Handlungsaufgabe;Führe das Manöver „Anlegen unter Maschine“ durch. Was ist das Ziel?;Das Boot kontrolliert an einem vorgegebenen Liegeplatz festmachen.;Wind und Strom beurteilen, Fender und Leinen vorbereiten, langsam und kontrolliert anfahren, klare Kommandos geben und ohne Gefährdung festmachen.;bilder/praxis-0002_pflichtmanover.png;SpFV Anlage 4, I.1;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0003;Pflichtmanöver;Ablegen unter Maschine;Amtlicher Praxisteil;Handlungsaufgabe;Führe das Manöver „Ablegen unter Maschine“ durch. Was ist das Ziel?;Das Boot kontrolliert vom Liegeplatz lösen und freifahren.;Wind, Strom und Verkehr prüfen, Leinenplan festlegen, klare Kommandos geben, Leinen kontrolliert lösen und mit sicherem Abstand ablegen.;bilder/praxis-0003_pflichtmanover.png;SpFV Anlage 4, I.1;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0004;Pflichtmanöver;Steuern nach Kompass;Amtlicher Praxisteil;Handlungsaufgabe;Führe das Manöver „Steuern nach Kompass“ durch. Was ist das Ziel?;Einen angewiesenen Kompasskurs aufnehmen und halten.;Kurs deutlich wiederholen, zügig aber ohne Übersteuern eindrehen, Ablenkung und Seegang berücksichtigen und den Kurs stabil halten.;bilder/praxis-0004_pflichtmanover.png;SpFV Anlage 4, I.1;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0005;Pflichtmanöver;Peilen;Amtlicher Praxisteil;Handlungsaufgabe;Führe das Manöver „Peilen“ durch. Was ist das Ziel?;Eine einfache Peilung oder Kreuzpeilung durchführen.;"Peilobjekte eindeutig auswählen, Peilwerte korrekt ablesen und ansagen; bei der Kreuzpeilung geeignete, möglichst deutlich geschnittene Peillinien verwenden.";bilder/praxis-0005_pflichtmanover.png;SpFV Anlage 4, I.1;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0006;Sonstige Manöver;Kursgerechtes Aufstoppen;Amtlicher Praxisteil;Handlungsaufgabe;Führe das mögliche Prüfungsmanöver „Kursgerechtes Aufstoppen“ aus. Was ist das Ziel?;Das Boot aus der Fahrt kontrolliert aufstoppen, ohne den Kurs unnötig zu verlassen.;Verkehrsraum prüfen, Gas wegnehmen, Rückwärtsgang dosiert einsetzen und Ruderwirkung beziehungsweise Propellereffekt beachten.;bilder/praxis-0006_sonstige_manover.png;SpFV Anlage 4, I.2;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0007;Sonstige Manöver;Wenden auf engem Raum;Amtlicher Praxisteil;Handlungsaufgabe;Führe das mögliche Prüfungsmanöver „Wenden auf engem Raum“ aus. Was ist das Ziel?;Das Boot auf engem Raum kontrolliert um 180° drehen.;"Wind, Strom, Verkehr und Propellereffekt einbeziehen; Vorwärts- und Rückwärtsfahrt dosiert und mit klaren Kommandos einsetzen.";bilder/praxis-0007_sonstige_manover.png;SpFV Anlage 4, I.2;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0008;Sonstige Manöver;Steuern nach Schifffahrtszeichen oder Landmarken;Amtlicher Praxisteil;Handlungsaufgabe;Führe das mögliche Prüfungsmanöver „Steuern nach Schifffahrtszeichen oder Landmarken“ aus. Was ist das Ziel?;Einen angewiesenen Kurs mithilfe eines Zeichens oder einer Landmarke halten.;Ziel eindeutig identifizieren, vorausschauend steuern und seitliche Versetzung durch Wind oder Strom ausgleichen.;bilder/praxis-0008_sonstige_manover.png;SpFV Anlage 4, I.2;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0009;Sonstige Manöver;Rettungsweste oder Sicherheitsgurt anlegen;Amtlicher Praxisteil;Handlungsaufgabe;Führe das mögliche Prüfungsmanöver „Rettungsweste oder Sicherheitsgurt anlegen“ aus. Was ist das Ziel?;Die Ausrüstung richtig auswählen, anlegen und sichern.;Passende Größe wählen, Verschlüsse schließen, Gurte straff einstellen, Schrittgurt verwenden und Sitz kontrollieren.;bilder/praxis-0009_sonstige_manover.png;SpFV Anlage 4, I.2;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0010;Sonstige Manöver;Manöverschallsignal;Amtlicher Praxisteil;Handlungsaufgabe;Führe das mögliche Prüfungsmanöver „Manöverschallsignal“ aus. Was ist das Ziel?;Eines der drei Manöverschallsignale korrekt geben und erklären.;Ein kurzer Ton: Steuerbord. Zwei kurze Töne: Backbord. Drei kurze Töne: Maschine arbeitet rückwärts.;bilder/praxis-0010_sonstige_manover.png;SpFV Anlage 4, I.2;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0011;Seemannsknoten;Achtknoten;Amtlicher Praxisteil;Vorführen und erklären;Führe den Knoten „Achtknoten“ vor und erkläre seine Verwendung.;Achtknoten: Verhindert das Ausrauschen eines Endes durch einen Block oder eine Öse.;In der Prüfung muss der Knoten vorgeführt und seine Verwendung richtig erklärt werden. Die Grafik ist eine Lernskizze, keine vollständige Bindeanleitung.;bilder/praxis-0011_seemannsknoten.png;SpFV Anlage 4, III;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0012;Seemannsknoten;Kreuzknoten;Amtlicher Praxisteil;Vorführen und erklären;Führe den Knoten „Kreuzknoten“ vor und erkläre seine Verwendung.;"Kreuzknoten: Verbindet zwei gleich starke Enden aus gleichem Material; nicht für sicherheitskritische Belastungen.";In der Prüfung muss der Knoten vorgeführt und seine Verwendung richtig erklärt werden. Die Grafik ist eine Lernskizze, keine vollständige Bindeanleitung.;bilder/praxis-0012_seemannsknoten.png;SpFV Anlage 4, III;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0013;Seemannsknoten;Palstek;Amtlicher Praxisteil;Vorführen und erklären;Führe den Knoten „Palstek“ vor und erkläre seine Verwendung.;Palstek: Bildet eine feste, nicht zuziehende Schlaufe.;In der Prüfung muss der Knoten vorgeführt und seine Verwendung richtig erklärt werden. Die Grafik ist eine Lernskizze, keine vollständige Bindeanleitung.;bilder/praxis-0013_seemannsknoten.png;SpFV Anlage 4, III;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0014;Seemannsknoten;Einfacher oder doppelter Schotstek;Amtlicher Praxisteil;Vorführen und erklären;Führe den Knoten „Einfacher oder doppelter Schotstek“ vor und erkläre seine Verwendung.;"Einfacher oder doppelter Schotstek: Verbindet ungleich starke Enden; der doppelte Schotstek hält bei größerem Unterschied besser.";In der Prüfung muss der Knoten vorgeführt und seine Verwendung richtig erklärt werden. Die Grafik ist eine Lernskizze, keine vollständige Bindeanleitung.;bilder/praxis-0014_seemannsknoten.png;SpFV Anlage 4, III;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0015;Seemannsknoten;Stopperstek;Amtlicher Praxisteil;Vorführen und erklären;Führe den Knoten „Stopperstek“ vor und erkläre seine Verwendung.;Stopperstek: Befestigt eine Leine an einer anderen Leine und hält besonders bei Zug in einer Richtung.;In der Prüfung muss der Knoten vorgeführt und seine Verwendung richtig erklärt werden. Die Grafik ist eine Lernskizze, keine vollständige Bindeanleitung.;bilder/praxis-0015_seemannsknoten.png;SpFV Anlage 4, III;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0016;Seemannsknoten;Webleinstek;Amtlicher Praxisteil;Vorführen und erklären;Führe den Knoten „Webleinstek“ vor und erkläre seine Verwendung.;Webleinstek: Befestigt eine Leine kurzfristig an Poller, Stange oder Reling.;In der Prüfung muss der Knoten vorgeführt und seine Verwendung richtig erklärt werden. Die Grafik ist eine Lernskizze, keine vollständige Bindeanleitung.;bilder/praxis-0016_seemannsknoten.png;SpFV Anlage 4, III;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0017;Seemannsknoten;Webleinstek auf Slip;Amtlicher Praxisteil;Vorführen und erklären;Führe den Knoten „Webleinstek auf Slip“ vor und erkläre seine Verwendung.;Webleinstek auf Slip: Wie der Webleinstek, lässt sich durch Ziehen am losen Ende schnell lösen.;In der Prüfung muss der Knoten vorgeführt und seine Verwendung richtig erklärt werden. Die Grafik ist eine Lernskizze, keine vollständige Bindeanleitung.;bilder/praxis-0017_seemannsknoten.png;SpFV Anlage 4, III;https://www.gesetze-im-internet.de/spfv/anlage_4.html
PRAXIS-0018;Seemannsknoten;Rundtörn mit zwei halben Schlägen;Amtlicher Praxisteil;Vorführen und erklären;Führe den Knoten „Rundtörn mit zwei halben Schlägen“ vor und erkläre seine Verwendung.;"Rundtörn mit zwei halben Schlägen: Befestigt eine Leine sicher an Ring, Stange oder Poller; der Rundtörn nimmt Last auf.";In der Prüfung muss der Knoten vorgeführt und seine Verwendung richtig erklärt werden. Die Grafik ist eine Lernskizze, keine vollständige Bindeanleitung.;bilder/praxis-0018_seemannsknoten.png;SpFV Anlage 4, III;https://www.gesetze-im-internet.de/spfv/anlage_4.html
